president,party,year,keyword,text,score,topic
Obama,Democrat,2012,america,diploma,0.299388379,international
Obama,Democrat,2012,america,allowed,0.297888249,other
Obama,Democrat,2012,america,tied,0.295207113,other
Obama,Democrat,2012,america,kids,0.273112237,humanity
Obama,Democrat,2012,america,billions,0.270518303,other
Obama,Democrat,2012,america,women,0.267755985,humanity
Obama,Democrat,2012,america,chinese,0.264789999,humanity
Obama,Democrat,2012,america,jews,0.257758737,humanity
Obama,Democrat,2012,america,research,0.252992362,science & tech
Obama,Democrat,2012,america,holding,0.252950132,other
Obama,Democrat,2012,america,exploration,0.249647364,other
Obama,Democrat,2012,america,fiasco,0.242625922,other
Obama,Democrat,2012,america,cop-outs,0.232010201,other
Obama,Democrat,2012,america,learned,0.231798202,other
Obama,Democrat,2012,america,asia,0.231320977,international
Obama,Democrat,2012,america,poverty,0.230830565,society
Obama,Democrat,2012,america,share,0.226164773,other
Obama,Democrat,2012,america,politics,0.22596702,other
Obama,Democrat,2012,equality,chip,0.30339244,science & tech
Obama,Democrat,2012,equality,closest,0.285413295,other
Obama,Democrat,2012,equality,attorney,0.283502936,other
Obama,Democrat,2012,equality,focus,0.276006341,other
Obama,Democrat,2012,equality,quicker,0.271356583,other
Obama,Democrat,2012,equality,ultimately,0.265556127,other
Obama,Democrat,2012,equality,stable,0.257781953,other
Obama,Democrat,2012,equality,debt,0.257767618,economy
Obama,Democrat,2012,equality,resources,0.253854573,economy
Obama,Democrat,2012,equality,talibans,0.249705568,security
Obama,Democrat,2012,equality,lightweight,0.245364264,other
Obama,Democrat,2012,equality,directing,0.242205173,other
Obama,Democrat,2012,equality,paycheck,0.240931407,economy
Obama,Democrat,2012,freedom,resource,0.325659841,economy
Obama,Democrat,2012,freedom,charge,0.309022486,other
Obama,Democrat,2012,freedom,sanctions,0.282403916,international
Obama,Democrat,2012,freedom,deeper,0.275830388,other
Obama,Democrat,2012,freedom,strongest,0.270622492,other
Obama,Democrat,2012,freedom,high-paying,0.266963392,economy
Obama,Democrat,2012,freedom,rising,0.258477062,other
Obama,Democrat,2012,freedom,guarantee,0.255504519,other
Obama,Democrat,2012,freedom,workers,0.244578585,society
Obama,Democrat,2012,freedom,cheaper,0.241172582,other
Obama,Democrat,2012,life,irans,0.330244422,security
Obama,Democrat,2012,life,bans,0.291299433,other
Obama,Democrat,2012,life,workers,0.26995036,society
Obama,Democrat,2012,life,resource,0.261926621,economy
Obama,Democrat,2012,life,liberal,0.23087582,society
Obama,Democrat,2012,life,plants,0.230446726,society
Obama,Democrat,2012,life,investigators,0.224295735,other
Obama,Democrat,2012,life,watching,0.223706037,other
Obama,Democrat,2012,life,institutions,0.220874414,society
Obama,Democrat,2012,life,lightweight,0.216951281,other
Obama,Democrat,2012,life,strength,0.216497838,other
Obama,Democrat,2012,life,recovery,0.21515587,society
Obama,Democrat,2012,life,climate,0.210390612,society
Obama,Democrat,2013,america,forces,0.293380409,other
Obama,Democrat,2013,america,embrace,0.278787673,other
Obama,Democrat,2013,america,kids,0.273864597,humanity
Obama,Democrat,2013,america,story,0.268910021,other
Obama,Democrat,2013,america,lives,0.258507848,other
Obama,Democrat,2013,america,well-off,0.257965595,other
Obama,Democrat,2013,america,foundation,0.25111565,other
Obama,Democrat,2013,america,certainly,0.24758999,other
Obama,Democrat,2013,america,advanced,0.244516909,other
Obama,Democrat,2013,america,approach,0.236081809,other
Obama,Democrat,2013,america,defending,0.231989041,other
Obama,Democrat,2013,america,transitions,0.230687052,other
Obama,Democrat,2013,america,diligently,0.228134185,other
Obama,Democrat,2013,america,skyrocketing,0.22323212,other
Obama,Democrat,2013,america,strong,0.222134173,other
Obama,Democrat,2013,america,child,0.221561015,humanity
Obama,Democrat,2013,equality,threatens,0.346911371,other
Obama,Democrat,2013,equality,earn,0.323641896,other
Obama,Democrat,2013,equality,murphy,0.290502369,other
Obama,Democrat,2013,equality,rewarded,0.280579865,other
Obama,Democrat,2013,equality,stolen,0.275630713,other
Obama,Democrat,2013,equality,retirement,0.273785084,society
Obama,Democrat,2013,equality,nationality,0.259161264,society
Obama,Democrat,2013,equality,adults,0.257041514,society
Obama,Democrat,2013,equality,manufacturers,0.255405605,economy
Obama,Democrat,2013,equality,middle,0.252836764,society
Obama,Democrat,2013,equality,serve,0.252236098,other
Obama,Democrat,2013,equality,magnet,0.251006454,other
Obama,Democrat,2013,equality,enemies,0.244377032,security
Obama,Democrat,2013,equality,replaces,0.242237762,other
Obama,Democrat,2013,equality,finances,0.237673238,economy
Obama,Democrat,2013,equality,trans-atlantic,0.237565517,international
Obama,Democrat,2013,equality,pollution,0.236647815,society
Obama,Democrat,2013,equality,cuts,0.234737381,economy
Obama,Democrat,2013,freedom,beginning,0.289534807,other
Obama,Democrat,2013,freedom,leaders,0.26765728,other
Obama,Democrat,2013,freedom,path,0.253752232,other
Obama,Democrat,2013,freedom,systems,0.234426588,other
Obama,Democrat,2013,freedom,slip,0.232461825,other
Obama,Democrat,2013,freedom,system,0.22952728,other
Obama,Democrat,2013,freedom,dollar,0.224969879,economy
Obama,Democrat,2013,freedom,locate,0.223405719,other
Obama,Democrat,2013,freedom,fix,0.218440384,other
Obama,Democrat,2013,freedom,transition,0.214949861,other
Obama,Democrat,2013,freedom,status,0.21381259,other
Obama,Democrat,2013,life,friends,0.275039583,other
Obama,Democrat,2013,life,hopeful,0.264836431,other
Obama,Democrat,2013,life,middle,0.260990262,other
Obama,Democrat,2013,life,murdered,0.252970994,society
Obama,Democrat,2013,life,live,0.247335956,other
Obama,Democrat,2013,life,courage,0.247274771,other
Obama,Democrat,2013,life,terrorists,0.24097389,security
Obama,Democrat,2013,life,regions,0.231287241,humanity
Obama,Democrat,2014,america,insurance,0.385547936,society
Obama,Democrat,2014,america,standards,0.277690142,other
Obama,Democrat,2014,america,enriched,0.272408158,other
Obama,Democrat,2014,america,leading,0.263504118,other
Obama,Democrat,2014,america,wrong,0.259179294,other
Obama,Democrat,2014,america,impact,0.257964104,other
Obama,Democrat,2014,america,reaching,0.250600845,other
Obama,Democrat,2014,america,premiums,0.243865833,society
Obama,Democrat,2014,america,families,0.235816523,humanity
Obama,Democrat,2014,america,tightknit,0.229953825,other
Obama,Democrat,2014,america,projects,0.229254872,other
Obama,Democrat,2014,america,friends,0.224964589,other
Obama,Democrat,2014,america,lower-wage,0.223430559,society
Obama,Democrat,2014,equality,operations,0.297073275,other
Obama,Democrat,2014,equality,pension,0.261843473,society
Obama,Democrat,2014,equality,centrifuges,0.260682344,other
Obama,Democrat,2014,equality,battered,0.255756259,society
Obama,Democrat,2014,equality,widely,0.253543347,other
Obama,Democrat,2014,equality,performance,0.252015263,other
Obama,Democrat,2014,equality,race,0.249647394,humanity
Obama,Democrat,2014,equality,automaker,0.236433297,economy
Obama,Democrat,2014,equality,problem,0.232044429,other
Obama,Democrat,2014,equality,meals,0.223115861,other
Obama,Democrat,2014,equality,works,0.222586647,economy
Obama,Democrat,2014,equality,childhood,0.221694663,humanity
Obama,Democrat,2014,equality,tax payers,0.216323167,society
Obama,Democrat,2014,equality,drain,0.213952094,other
Obama,Democrat,2014,equality,raised,0.210946515,other
Obama,Democrat,2014,equality,iraq,0.321221173,security
Obama,Democrat,2014,freedom,upside down,0.309472322,other
Obama,Democrat,2014,freedom,cyberattacks,0.264768422,security
Obama,Democrat,2014,freedom,nato,0.262283951,security
Obama,Democrat,2014,freedom,drought,0.256436914,society
Obama,Democrat,2014,freedom,open ended,0.250371963,other
Obama,Democrat,2014,freedom,olympic,0.241046533,society
Obama,Democrat,2014,freedom,easier,0.240635842,other
Obama,Democrat,2014,freedom,greatest,0.239516363,other
Obama,Democrat,2014,freedom,administration,0.237078264,other
Obama,Democrat,2014,freedom,loved,0.23656182,other
Obama,Democrat,2014,freedom,dropped,0.233423814,other
Obama,Democrat,2014,freedom,cooperation,0.222247601,economy
Obama,Democrat,2014,life,targeted,0.316832632,other
Obama,Democrat,2014,life,costco,0.276153326,security
Obama,Democrat,2014,life,doubled,0.275380164,other
Obama,Democrat,2014,life,intend,0.271086872,other
Obama,Democrat,2014,life,leadership,0.26088807,other
Obama,Democrat,2014,life,democrats,0.253662556,other
Obama,Democrat,2014,life,physician,0.235894442,society
Obama,Democrat,2014,life,virtue,0.234833181,other
Obama,Democrat,2014,life,systems,0.234123513,other
Obama,Democrat,2014,life,childs,0.23106271,humanity
Obama,Democrat,2014,life,civilian,0.231056705,humanity
Obama,Democrat,2014,life,plants,0.229639024,society
Obama,Democrat,2014,life,future,0.226371467,society
Obama,Democrat,2015,america,require,0.361312,other
Obama,Democrat,2015,america,wants,0.33373913,other
Obama,Democrat,2015,america,unfolded,0.31117177,other
Obama,Democrat,2015,america,grandmother,0.29349798,humanity
Obama,Democrat,2015,america,cancer,0.27623385,society
Obama,Democrat,2015,america,google,0.26596767,science & tech
Obama,Democrat,2015,america,events,0.26033044,other
Obama,Democrat,2015,america,serves,0.23370811,other
Obama,Democrat,2015,america,israel,0.2336179,international
Obama,Democrat,2015,america,abuse,0.23113126,society
Obama,Democrat,2015,america,churning,0.22946452,other
Obama,Democrat,2015,america,executives,0.22763498,economy
Obama,Democrat,2015,america,earning,0.22593106,other
Obama,Democrat,2015,freedom,online,0.388917774,science & tech
Obama,Democrat,2015,freedom,infrastructure,0.311127394,economy
Obama,Democrat,2015,freedom,past,0.282909781,other
Obama,Democrat,2015,freedom,coverage,0.278910816,other
Obama,Democrat,2015,freedom,israel,0.270873636,international
Obama,Democrat,2015,freedom,national,0.263540268,other
Obama,Democrat,2015,freedom,home,0.262755781,other
Obama,Democrat,2015,freedom,blue,0.252135843,other
Obama,Democrat,2015,freedom,faces,0.250598192,other
Obama,Democrat,2015,freedom,assembly,0.24925296,other
Obama,Democrat,2015,freedom,tucson,0.233345583,international
Obama,Democrat,2015,freedom,global,0.224480629,international
Obama,Democrat,2015,life,values,0.291826516,other
Obama,Democrat,2015,life,news,0.286063671,other
Obama,Democrat,2015,life,lands,0.266227424,other
Obama,Democrat,2015,life,advocates,0.266198456,other
Obama,Democrat,2015,life,white,0.266010582,other
Obama,Democrat,2015,life,republican,0.26010713,other
Obama,Democrat,2015,life,earnings,0.254647434,society
Obama,Democrat,2015,life,earth,0.252484769,other
Obama,Democrat,2015,life,lifting,0.239481881,other
Obama,Democrat,2015,life,pope,0.236126125,other
Obama,Democrat,2015,life,up,0.23601082,other
Obama,Democrat,2015,life,taxpayer-funded,0.231957272,society
Obama,Democrat,2015,life,cooperation,0.22964713,economy
Obama,Democrat,2015,life,season,0.229442403,other
Obama,Democrat,2015,life,competition,0.228188962,other
Obama,Democrat,2015,life,actions,0.225864068,other
Obama,Democrat,2015,life,truth,0.219699949,other
Obama,Democrat,2016,america,overrides,0.293556005,other
Obama,Democrat,2016,america,betrays,0.281940579,other
Obama,Democrat,2016,america,young,0.276369691,humanity
Obama,Democrat,2016,america,group,0.26856339,other
Obama,Democrat,2016,america,foreign,0.259160846,international
Obama,Democrat,2016,america,bullied,0.256344289,other
Obama,Democrat,2016,america,seeing,0.25620836,other
Obama,Democrat,2016,america,arizona,0.244524375,society
Obama,Democrat,2016,america,justice,0.242180303,society
Obama,Democrat,2016,america,innovation,0.237494722,science & tech
Obama,Democrat,2016,america,generate,0.231452823,other
Obama,Democrat,2016,america,recruitment,0.229539052,society
Obama,Democrat,2016,america,accomplish,0.229343131,other
Obama,Democrat,2016,america,life,0.220819741,other
Obama,Democrat,2016,america,nuclear,0.220614612,security
Obama,Democrat,2016,america,united,0.213731557,other
Obama,Democrat,2016,america,cut,0.212678015,other
Obama,Democrat,2016,equality,becoming,0.332275063,other
Obama,Democrat,2016,equality,hopeless,0.321494043,other
Obama,Democrat,2016,equality,control,0.301417738,other
Obama,Democrat,2016,equality,optimism,0.296369046,other
Obama,Democrat,2016,equality,internet,0.278913558,science & tech
Obama,Democrat,2016,equality,movements,0.273246825,other
Obama,Democrat,2016,equality,bin,0.26708585,other
Obama,Democrat,2016,equality,dangerous,0.265724182,other
Obama,Democrat,2016,equality,started,0.259454519,other
Obama,Democrat,2016,equality,constructive,0.257154822,other
Obama,Democrat,2016,equality,poverty,0.236000448,society
Obama,Democrat,2016,equality,loss,0.234087825,other
Obama,Democrat,2016,equality,epidemic,0.217028424,society
Obama,Democrat,2016,freedom,insurance,0.339031577,society
Obama,Democrat,2016,freedom,marry,0.334810436,humanity
Obama,Democrat,2016,freedom,creation,0.308154851,other
Obama,Democrat,2016,freedom,economy,0.294804215,economy
Obama,Democrat,2016,freedom,straight,0.291538388,other
Obama,Democrat,2016,freedom,recklessness,0.287213683,other
Obama,Democrat,2016,freedom,pays,0.258319974,economy
Obama,Democrat,2016,freedom,open,0.257226974,other
Obama,Democrat,2016,freedom,silicon,0.24625656,science & tech
